,state,county,inc,% change
1062,KY,McCracken,56089,9.8
1063,KY,McCreary,35811,16.4
1064,KY,McLean,50679,5
1065,KY,Madison,42808,8.9
1066,KY,Magoffin,43913,15.6
1067,KY,Marion,43909,8.6
1068,KY,Marshall,48292,8.4
1069,KY,Martin,35932,15.7
1070,KY,Mason,47927,9.6
1071,KY,Meade,46893,8
1072,KY,Menifee,41028,11.7
1073,KY,Mercer,43163,7.9
1074,KY,Metcalfe,38284,10.8
1075,KY,Monroe,44045,12
1076,KY,Montgomery,42710,10
1077,KY,Morgan,33208,12.4
1078,KY,Muhlenberg,40634,6.6
1079,KY,Nelson,51367,8.6
1080,KY,Nicholas,41414,10.2
1081,OH,Oldham,73110,3.8
1082,OH,Owen,39661,9.7
1083,OH,Owsley,45731,16.3
1084,OH,Pendleton,51933,2.2
1085,OH,Perry,44108,11.9
1086,OH,Pike,42691,10.5
1087,OH,Powell,37993,13.9
1088,OH,Pulaski,46607,9.5
1089,OH,Robertson,41155,15.9
1090,OH,Rockcastle,41290,11.2
1091,OH,Rowan,37769,9.6
1092,OH,Russell,45383,9.8
1093,OH,Scott,52325,6.6
1094,OH,Shelby,55471,7.5
1095,OH,Simpson,44178,9.9
1096,OH,Spencer,53915,6.5
1097,OH,Taylor,41752,10.9
1098,OH,Todd,46946,7
1099,OH,Trigg,47026,9.1
1100,OH,Trimble,47815,9.6
1101,OH,Union,49499,12.7
1102,OH,Warren,43812,7.3
1103,WA,Wayne,38628,14.6
1104,WA,Webster,48336,5.3
1105,WA,Whitley,42266,10.9
1106,WA,Wolfe,45286,15.9
1107,WA,Woodford,59860,4.5
1109,LA,Acadia,45805,10.2
1110,LA,Allen,42949,6.7
1111,LA,Ascension,58566,5.1
1112,LA,Assumption,56352,4.6
1113,LA,Avoyelles,45777,9.6
1114,LA,Beauregard,50015,7.4
1115,LA,Bienville,46442,9.4
1116,LA,Bossier,51970,7.8
1117,LA,Caddo,57420,7.3
1118,LA,Calcasieu,50775,2.6
1119,LA,Caldwell,42049,9.8
1120,LA,Cameron,63384,1.5
1121,LA,Catahoula,43386,13.9
1122,LA,Claiborne,43953,6.7
1123,LA,Concordia,43299,16.3
1124,LA,De Soto,51447,6.2
1125,LA,East Baton Rouge,59352,8
1126,LA,East Carroll,39981,15.5
1127,LA,East Feliciana,47562,5.9
1128,LA,Evangeline,42109,13.9
1129,LA,Franklin,40589,13.9
1130,LA,Grant,37764,9.8
1131,LA,Iberia,47594,8.1
1132,LA,Iberville,52930,8.5
1133,LA,Jackson,43272,9.7
1134,LA,Jefferson,58284,7.4
1135,LA,Jefferson Davis,46922,6.8
1136,LA,Lafayette,57674,8.1
1137,LA,Lafourche,49614,2.9
1138,LA,LaSalle,37546,5.9
1139,LA,Lincoln,45588,6.2
1140,LA,Livingston,48854,5.2
1141,LA,Madison,44828,19.3
1142,LA,Morehouse,44860,11.8
1143,LA,Natchitoches,46579,5.3
1144,LA,Orleans,62249,7.1
1145,LA,Ouachita,46804,9.1
1146,LA,Plaquemines,55108,8.5
1147,LA,Pointe Coupee,58807,7.6
1148,LA,Rapides,54153,9.7
1149,LA,Red River,54964,8.1
1150,LA,Richland,45736,10.6
1151,LA,Sabine,45105,6.8
1152,LA,St. Bernard,42310,9
1153,LA,St. Charles,56921,6.9
1154,LA,St. Helena,50554,9.6
1155,LA,St. James,61471,5.4
1156,LA,St. John the Baptist,49045,8.2
1157,LA,St. Landry,49358,9.3
1158,LA,St. Martin,46248,8
1159,LA,St. Mary,49034,10.9
1160,LA,St. Tammany,71361,-3.6
1161,LA,Tangipahoa,47076,8.1
1162,LA,Tensas,50669,12.3
1163,LA,Terrebonne,49612,7.8
1164,LA,Union,49647,6.5
1165,LA,Vermilion,46494,6.4
1166,LA,Vernon,47307,6.7
1167,WA,Webster,49944,10.1
1168,WA,West Baton Rouge,54404,7.4
1169,WA,West Carroll,43241,18.4
1170,WA,West Feliciana,45199,6.1
1171,WA,Winn,47071,11.8
1173,ME,Androscoggin,49766,9.7
1174,ME,Aroostook,49883,10.2
1175,ME,Cumberland,73972,7.2
1176,ME,Franklin,47206,8.4
1177,ME,Hancock,60105,7.2
1178,ME,Kennebec,53658,8.9
1179,ME,Knox,59420,6.5
1180,ME,Lincoln,59613,6.4
1181,ME,Oxford,45332,8.5
1182,ME,Penobscot,50480,10.4
1183,ME,Piscataquis,48987,13.3
1184,ME,Sagadahoc,59843,8.2
1185,ME,Somerset,46860,10.8
1186,ME,Waldo,51757,8.4
1187,WA,York,62355,6.9
1189,MD,Allegany,47347,8
1190,MD,Anne Arundel,76059,5.5
1191,MD,Baltimore,69561,6.6
1192,MD,Calvert,70690,4.8
1193,MD,Caroline,53549,4.5
1194,MD,Carroll,69397,5.4
1195,MD,Cecil,55293,5.3
1196,MD,Charles,63939,6.8
1197,MD,Dorchester,54075,6.8
1198,MD,Frederick,68704,4.8
1199,MD,Garrett,53008,7.5
1200,MD,Harford,66633,6
1201,MD,Howard,86380,5.2
1202,MD,Kent,67648,6.2
1203,MD,Montgomery,92740,1.7
1204,MD,Prince George's,54916,8.5
1205,MD,Queen Anne's,75811,4.4
1206,MD,St. Mary's,65762,5.1
1207,MD,Somerset,37395,5
